model,domain,osworld_id,osworld_text,max_sim_to_training,nearest_training_id,nearest_training_text,exceeds_weakest_paraphrase,weakest_paraphrase_threshold,source_exhausted,exceeds_at_min,exceeds_at_p5,exceeds_at_p10
potion-base-32m,chrome,030eeff7-b492-4218-b312-701ec99ee0cc,Can you enable the 'Do Not Track' feature in Chrome to enhance my online privacy?,0.23136264085769653,hotel_review_genius_filter,"Search hotels in Amsterdam, set the review score to Very good: 8+ and enable Genius discounts, without leaving the results page.",0,0.665859580039978,0,0,0,0
potion-base-32m,chrome,06fe7178-4491-4589-810f-2e2bc9502122,Can you make my computer bring back the last tab I shut down?,0.22080297768115997,trips_status_filter_cancelled,Switch the trips list to show only the cancelled bookings.,0,0.665859580039978,0,0,0,0
potion-base-32m,chrome,0d8b7de3-e8de-4d86-b9fd-dd2dce58a217,Browse the natural products database.,0.3351686894893646,geo_hierarchy_spain_madrid,"From the country list, browse to Spain and then to Madrid.",0,0.665859580039978,1,0,0,0
potion-base-32m,chrome,12086550-11c0-466b-b367-1d9e75b3910e,"Computer, please navigate to the area in my browser settings where my passwords are stored. I want to check my login information for Etsy without revealing it just yet.",0.3021087348461151,hotel_review_genius_filter,"Search hotels in Amsterdam, set the review score to Very good: 8+ and enable Genius discounts, without leaving the results page.",0,0.665859580039978,0,0,0,0
potion-base-32m,chrome,121ba48f-9e17-48ce-9bc6-a4fb17a7ebba,Find Dota 2 game and add all DLC to cart.,0.17413437366485596,help_search_refund,"In the Help Centre, search for 'refund' and open the article about when a refund is received.",0,0.665859580039978,1,0,0,0
potion-base-32m,chrome,1704f00f-79e6-43a7-961b-cedd3724d5fd,"Find a large car from next Monday to Friday in Zurich, sorted by price.",0.4636852741241455,car_rating_sort,"Show cars available in Barcelona, sorted by customer rating (highest first).",0,0.665859580039978,1,0,0,0
potion-base-32m,chrome,2888b4e6-5b47-4b57-8bf5-c73827890774,Show me all men's large-size short-sleeve shirts with a discount of 50% or more.,0.2037215232849121,hotel_multi_filter_genius_review,Show hotels in Paris with Genius discounts enabled and a review score of Superb: 9+.,0,0.665859580039978,1,0,0,0
potion-base-32m,chrome,2ad9387a-65d8-4e33-ad5b-7580065a27ca,Can you make a new folder for me on the bookmarks bar in my internet browser? Let's call it 'Favorites.',0.27169713377952576,car_rating_sort,"Show cars available in Barcelona, sorted by customer rating (highest first).",0,0.665859580039978,0,0,0,0
potion-base-32m,chrome,2ae9ba84-3a0d-4d4c-8338-3a1478dc5fe3,Lately I have changed my English name to Thomas. I want to update my username. Could you help me change the username in chrome profiles to Thomas?,0.24292342364788055,package_free_cancellation_filter,I might change my plans — only show me packages with free cancellation.,0,0.665859580039978,0,0,0,0
potion-base-32m,chrome,3299584d-8f11-4457-bf4c-ce98f7600250,"On my surface pro whenever I launch Chrome it always opens ""funbrain.com."" I don't want this. I cleared my cache but it still happens. What should I do?",0.19786977767944336,package_free_cancellation_filter,I might change my plans — only show me packages with free cancellation.,0,0.665859580039978,0,0,0,0
potion-base-32m,chrome,35253b65-1c19-4304-8aa4-6884b8218fc0,"Hey, I need a quick way back to this site. Could you whip up a shortcut on my desktop for me using Chrome's built-in feature?",0.15427818894386292,currency_switch_eur,Switch the site currency to Euros.,0,0.665859580039978,0,0,0,0
potion-base-32m,chrome,368d9ba4-203c-40c1-9fa3-da2f1430ce63,"Find the Monthly forecast for Manchester, GB for this month",0.37957730889320374,flight_business_cabin,Find business-class flights from Munich to Dubai on the 5th of next month.,0,0.665859580039978,0,0,0,0
potion-base-32m,chrome,3720f614-37fd-4d04-8a6b-76f54f8c222d,"I am from the country of Atlantis, and my mother tongue is Xenothian. Please change the Google Chrome interface language to Xenothian using only Chrome’s built-in settings.",0.2831372916698456,language_switch_french,Change the site language to French.,0,0.665859580039978,0,0,0,0
potion-base-32m,chrome,44ee5668-ecd5-4366-a6ce-c1c9b8d4e938,"I am looking for an website address I accessed a month ago, but Youtube websites which take almost all of my browsing history are interrupting my search. This is too annoying. I want to remove all my Youtube browsing history first to facilitate my search. Could you help me clear browsing history from Youtube?",0.27370819449424744,hotel_search_price_sort,Search for hotels in Lisbon and sort the results by lowest price.,0,0.665859580039978,0,0,0,0
