model,domain,score,ratio,our_id,our_instruction,osworld_id,osworld_instruction
gte-large,gimp,0.974,0.1456,gimp_undo_levels_50,Set the minimum number of undo steps to 50.,7b7617bd-57cc-468e-9c91-40c4ec2bcb3d,Set the minimum number of undo steps to 100.
gte-large,gimp,0.9635,0.2137,gimp_text_box_right,Can you shift the text box to the right? I keep accidentally selecting the image layer beneath it.,e2dd0213-26db-4349-abe5-d5667bfd725c,Can you assist me in moving the text box to the left side? I keep accidentally selecting the image layer beneath it.
gte-large,vlc,0.952,0.3373,vlc_recordings_folder_videos,Help me modify the folder used to store my recordings to my Videos folder (~/Videos).,8ba5ae7a-5ae5-4eab-9fcc-5dd4fe3abf89,Help me modify the folder used to store my recordings to Desktop
gte-large,gimp,0.947,0.3483,gimp_red_background_layer,"Could you fill the background layer with red color, leaving the object layer as is?",734d6579-c07d-47a8-9ae2-13339795476b,"Could you fill the background layer with green color, leaving the object layer as is?"
gte-large,gimp,0.9469,0.6716,gimp_brighten_photo,Could you brighten up my photo a bit?,7a4deb26-d57d-4ea9-9a73-630f66a7b568,Could you tone down the brightness of my photo?
gte-large,vlc,0.9435,0.5448,vlc_always_start_fullscreen,Can you set VLC to always start in fullscreen mode?,8d9fd4e2-6fdb-46b0-b9b9-02f06495c62f,Can you enable fullscreen mode in VLC so that the video fill up the whole screen?
gte-large,gimp,0.9422,0.434,gimp_export_output_png,"Could you export my photo to the desktop and name it ""output.png""?",77b8ab4d-994f-43ac-8930-8ca087d7c4b4,Could you assist me in placing my photo on the desktop and renaming it to export.jpg?
gte-large,gimp,0.939,0.3651,gimp_flip_vertical,Please flip my figure vertically.,72f83cdc-bf76-4531-9a1b-eb893a13f8aa,Please rotate my figure to mirror it horizontally.
gte-large,gimp,0.9325,0.774,gimp_lower_contrast,I'd like to soften the picture — could you assist me in lowering the contrast?,f723c744-e62c-4ae6-98d1-750d3cd7d79d,I'd like to make the picture's contrast stronger to really bring out the main subject. Could you assist me in boosting the contrast?
gte-large,chrome,0.9226,0.4942,car_large_price_sort,Find a large car in Geneva and sort the results by lowest price.,1704f00f-79e6-43a7-961b-cedd3724d5fd,"Find a large car from next Monday to Friday in Zurich, sorted by price."
gte-large,vlc,0.9216,0.4044,vlc_slider_color_red,Can you change the color of the volume slider controller to red?,d06f0d4d-2cd5-4ede-8de9-598629438c6e,"Can you change the color of the volume slider to black-ish color? I often use the player in a low-light environment, and a darker color scheme would be less straining on my eyes, especially during nighttime usage."
gte-large,chrome,0.921,0.5247,flight_oneway_2adults,Search for a one-way flight from Amsterdam to Rome for 2 adults on the 20th of next month.,f79439ad-3ee8-4f99-a518-0eb60e5652b0,Search for a one way flight from Dublin to Vienna on 10th next month for 2 adults.
gte-large,vlc,0.92,0.6599,vlc_loop_music_video,Could you play the music video on my desktop and set it to loop continuously?,59f21cfb-0120-4326-b255-a5b827b38967,Could you play the music video that's saved on my desktop for me via vlc?
gte-large,chrome,0.9195,0.3986,hotel_price_sort,"Find a hotel in Rome for 3 adults, sort the results by lowest price, and stay on the results page.",b7895e80-f4d1-4648-bee0-4eb45a6f1fa8,Find a Hotel in New York City with lowest price possible for 2 adults next weekend. Sort the search results by price and stay on the results page.
gte-large,vlc,0.918,0.6562,vlc_snap_scene_jpg,"Snap a photo of the current scene, save it as 'scene.jpg', and put it on the Desktop.",fba2c100-79e8-42df-ae74-b592418d54f4,"Snap a photo of the current video scene, save it as 'interstellar.png', and put it on the Desktop, please."
gte-large,vlc,0.9176,0.8709,vlc_extract_song_wav,"Could you convert the song from this music video to a WAV file and save it on the desktop titled ""song.wav""?",8f080098-ddb1-424c-b438-4e96e5e4786e,"Could you convert the song from this music video as an MP3 file? I'd like to have it on my device to play whenever I want. Please save the file just on the desktop and title the file ""Baby Justin Bieber.mp3."" I really appreciate your help!"
gte-large,gimp,0.9175,0.6217,gimp_resize_layer_256,Could you resize the subject layer's height to 256 pixels while maintaining the original aspect ratio?,d16c99dc-2a1e-46f2-b350-d97c86c85c15,Could you assist me with resizing the dog layer of an image? I need to adjust the height to 512 pixels while maintaining the original aspect ratio?
gte-large,vlc,0.9172,0.4078,vlc_max_volume_150,Can you increase the max volume to 150% of the original volume?,9195653c-f4aa-453d-aa95-787f6ccfaae9,I like watching movies (using VLC) on my laptop and sometimes the volume is too low for my taste even when the volume in VLC is set to the maximum of 125% on the volume control. Can you increase the max volume of the video to the 200% of the original volume?
bge-large-en-v1.5,gimp,0.915,0.2417,gimp_text_box_right,Can you shift the text box to the right? I keep accidentally selecting the image layer beneath it.,e2dd0213-26db-4349-abe5-d5667bfd725c,Can you assist me in moving the text box to the left side? I keep accidentally selecting the image layer beneath it.
gte-large,gimp,0.9144,0.9336,gimp_reduce_saturation,Could you assist me in reducing the color saturation of my photo by -50 to give it a muted look?,7a4deb26-d57d-4ea9-9a73-630f66a7b568,Could you tone down the brightness of my photo?
