model,domain,score,ratio,our_id,our_instruction,osworld_id,osworld_instruction
bge-large-en-v1.5,gimp,0.8971,0.4074,gimp_export_output_png,"My photo needs to end up on the desktop under the name ""output.png"" — can you export it there for me?",77b8ab4d-994f-43ac-8930-8ca087d7c4b4,Could you assist me in placing my photo on the desktop and renaming it to export.jpg?
bge-large-en-v1.5,gimp,0.8693,0.7753,gimp_brighten_photo,This photo came out too dark — could you punch up the brightness a little?,7a4deb26-d57d-4ea9-9a73-630f66a7b568,Could you tone down the brightness of my photo?
bge-large-en-v1.5,gimp,0.857,0.8079,gimp_reduce_saturation,Could you assist me in reducing the color saturation of my photo by -50 to give it a muted look?,7a4deb26-d57d-4ea9-9a73-630f66a7b568,Could you tone down the brightness of my photo?
bge-large-en-v1.5,chrome,0.8466,0.3653,hotel_price_sort,"Find a hotel in Rome for 3 adults, sort the results by lowest price, and stay on the results page.",b7895e80-f4d1-4648-bee0-4eb45a6f1fa8,Find a Hotel in New York City with lowest price possible for 2 adults next weekend. Sort the search results by price and stay on the results page.
bge-large-en-v1.5,vlc,0.8458,0.5702,vlc_always_start_fullscreen,Whenever I open VLC I want it to launch already in fullscreen — can you make that the default?,8d9fd4e2-6fdb-46b0-b9b9-02f06495c62f,Can you enable fullscreen mode in VLC so that the video fill up the whole screen?
bge-large-en-v1.5,gimp,0.8404,0.4641,gimp_new_layer_name,Add a new layer for me and give it the name 'new layer'.,b148e375-fe0b-4bec-90e7-38632b0d73c2,Could you assist me in adding a new layer and naming it 'Square'?
bge-large-en-v1.5,vlc,0.8378,0.5115,vlc_slider_color_red,I'd like the volume slider recolored to red — can you do that?,d06f0d4d-2cd5-4ede-8de9-598629438c6e,"Can you change the color of the volume slider to black-ish color? I often use the player in a low-light environment, and a darker color scheme would be less straining on my eyes, especially during nighttime usage."
bge-large-en-v1.5,gimp,0.8339,0.6189,gimp_grayscale_mode,Could you help me set the image to Grayscale mode?,06ca5602-62ca-47f6-ad4f-da151cde54cc,Could you help me set the image to Palette-Based?
bge-large-en-v1.5,gimp,0.8332,0.4553,gimp_text_box_right,The text box sits too close to the image layer underneath and I keep grabbing the wrong one by mistake — move the text box over toward the right edge.,e2dd0213-26db-4349-abe5-d5667bfd725c,Can you assist me in moving the text box to the left side? I keep accidentally selecting the image layer beneath it.
bge-large-en-v1.5,vlc,0.8201,0.7704,vlc_wallpaper_fit_screen,"Make this video frame my desktop wallpaper, set to ""fit screen"" mode.",efcf0d81-0835-4880-b2fd-d866e8bc2294,Make this part of the video my computer's background picture
bge-large-en-v1.5,gimp,0.8185,0.4709,gimp_flip_vertical,My figure is upside down — flip it along the vertical axis so it's right side up.,72f83cdc-bf76-4531-9a1b-eb893a13f8aa,Please rotate my figure to mirror it horizontally.
bge-large-en-v1.5,vlc,0.8182,0.6028,vlc_recordings_folder_videos,Change where VLC saves recordings — I want them going into my Videos folder (~/Videos) from now on.,8ba5ae7a-5ae5-4eab-9fcc-5dd4fe3abf89,Help me modify the folder used to store my recordings to Desktop
bge-large-en-v1.5,gimp,0.8159,0.8527,gimp_lower_contrast,The picture looks too harsh — dial back the contrast a bit for me.,7a4deb26-d57d-4ea9-9a73-630f66a7b568,Could you tone down the brightness of my photo?
